depth,method,dataset,seed,balanced_accuracy
3,CART,breast,0,0.9461111111111111
3,CART,breast,1,0.9283333333333333
3,CART,breast,2,0.9344444444444444
3,CART,breast,3,0.9516666666666667
3,CART,breast,4,0.9438888888888889
3,CART,compas,0,0.642160688541294
3,CART,compas,1,0.6550789676216492
3,CART,compas,2,0.6603931579460831
3,CART,compas,3,0.6722572707662624
3,CART,compas,4,0.6466185381505208
3,CART,credit-g,0,0.6820084915674018
3,CART,credit-g,1,0.6900872744427409
3,CART,credit-g,2,0.6709222785705862
3,CART,credit-g,3,0.6357176553838897
3,CART,credit-g,4,0.6623422573416676
3,CART,diabetes,0,0.6861946483542505
3,CART,diabetes,1,0.725124319204357
3,CART,diabetes,2,0.7469334596258583
3,CART,diabetes,3,0.7151551030073408
3,CART,diabetes,4,0.6760833530665404
3,CART,heart-statlog,0,0.7054698457223001
3,CART,heart-statlog,1,0.6262272089761571
3,CART,heart-statlog,2,0.7857643758765778
3,CART,heart-statlog,3,0.7836605890603086
3,CART,heart-statlog,4,0.7678821879382889
3,CART,liver,0,0.669407453749218
3,CART,liver,1,0.6202073465010278
3,CART,liver,2,0.6292340691750826
3,CART,liver,3,0.6767807668245598
3,CART,liver,4,0.6365626955045134
3,CART,vehicle,0,0.9177659675429439
3,CART,vehicle,1,0.9130919616589162
3,CART,vehicle,2,0.9228195881180601
3,CART,vehicle,3,0.8808009869981968
3,CART,vehicle,4,0.8811806016892854
3,DL85,breast,0,0.94
3,DL85,breast,1,0.9538888888888889
3,DL85,breast,2,0.9372222222222222
3,DL85,breast,3,0.9522222222222222
3,DL85,breast,4,0.9522222222222222
3,DL85,compas,0,0.6613958353657876
3,DL85,compas,1,0.6653794456548838
3,DL85,compas,2,0.6698183256913055
3,DL85,compas,3,0.6702763053776029
3,DL85,compas,4,0.6575477220253
3,DL85,credit-g,0,0.6131029602547471
3,DL85,credit-g,1,0.6061151079136691
3,DL85,credit-g,2,0.6200023587687227
3,DL85,credit-g,3,0.6009258167236702
3,DL85,credit-g,4,0.5097004363722137
3,DL85,diabetes,0,0.6645039071749941
3,DL85,diabetes,1,0.7130239166469334
3,DL85,diabetes,2,0.6911200568316362
3,DL85,diabetes,3,0.7372720814586786
3,DL85,diabetes,4,0.7105375325597916
3,DL85,heart-statlog,0,0.6998597475455821
3,DL85,heart-statlog,1,0.6697054698457223
