depth,method,dataset,mean,std
3,C45,breast,0.9384444444444444,0.012256265719325594
3,C45,compas,0.6499837403661669,0.008806468084582894
3,C45,credit-g,0.5790718245076071,0.029993445162596985
3,C45,diabetes,0.6865640539900545,0.04499216882253777
3,C45,heart-statlog,0.7044179523141655,0.01852215406319381
3,C45,liver,0.5690946465278398,0.047475597182175616
3,C45,vehicle,0.8569611843978361,0.03914172307072561
3,CART,breast,0.9408888888888889,0.00937556582654621
3,CART,compas,0.6553017246051619,0.011848495849662652
3,CART,credit-g,0.6682155914612572,0.021015188958568812
3,CART,diabetes,0.7098981766516694,0.02888071339389793
3,CART,heart-statlog,0.7338008415147265,0.06841504447645445
3,CART,liver,0.6464384663508803,0.025148674720101637
3,CART,vehicle,0.9031318212014805,0.020503005862091896
3,DL85,breast,0.947111111111111,0.007850847245306462
3,DL85,compas,0.6648835268229759,0.0054694208932048365
3,DL85,credit-g,0.5899693360066045,0.04544494937773183
3,DL85,diabetes,0.7032914989344068,0.027177776876871836
3,DL85,heart-statlog,0.6877279102384293,0.024416870791534793
3,DL85,liver,0.5984449012422915,0.034353457260619384
3,DL85,vehicle,0.9316646104204234,0.008987887014928581
3,GATREE,breast,0.9422222222222223,0.009187686338078472
3,GATREE,compas,0.6470450825447411,0.005293215169534326
3,GATREE,credit-g,0.6475409836065574,0.045018078797594285
3,GATREE,diabetes,0.6808666824532323,0.02720584785689401
3,GATREE,heart-statlog,0.6694950911640954,0.031190999668670137
3,GATREE,liver,0.6262043078023058,0.03659746821818357
3,GATREE,vehicle,0.92183258992123,0.022187346660896126
3,GOSDT,breast,0.9351111111111111,0.005420582630066873
3,GOSDT,compas,0.6411910723770501,0.003698592377655044
3,GOSDT,credit-g,0.6812124071234815,0.0
3,GOSDT,diabetes,0.6983755623964006,0.0122762555643477
3,GOSDT,heart-statlog,0.6514025245441795,0.08620835336201468
3,GOSDT,liver,0.6558494950397712,0.01830080742467728
3,GOSDT,vehicle,0.8523393755338331,0.04697192126410722
3,LLEGO,breast,0.946111111111111,0.011055415967851317
3,LLEGO,compas,0.6520752712648912,0.003988231833392007
3,LLEGO,credit-g,0.6791602783347093,0.006999027651242379
3,LLEGO,diabetes,0.713355434525219,0.014884550743883219
3,LLEGO,heart-statlog,0.7361851332398317,0.023648244122650746
3,LLEGO,liver,0.6719545982661542,0.019062105610384447
3,LLEGO,vehicle,0.9372164752775932,0.016666190129992316
4,C45,breast,0.9423333333333334,0.012858441047531382
4,C45,compas,0.6600744691229554,0.005666315074562784
4,C45,credit-g,0.6224849628493926,0.04258112174727158
4,C45,diabetes,0.698669192517168,0.023560642412145623
4,C45,heart-statlog,0.7136044880785415,0.0317813810219879
4,C45,liver,0.5854499955313254,0.04565497890780287
4,C45,vehicle,0.92128689380279,0.011321646698642282
4,CART,breast,0.945111111111111,0.010216785994107058
4,CART,compas,0.6597584902387998,0.011124089285228617
4,CART,credit-g,0.6753213822384715,0.0186015218106298
4,CART,diabetes,0.7038361354487331,0.02587133169997813
4,CART,heart-statlog,0.7130434782608696,0.058877117561851704
4,CART,liver,0.6317097148985611,0.06274305254620519
4,CART,vehicle,0.924584796431622,0.02008487332171885
4,DL85,breast,0.9391111111111112,0.01189978732043579
4,DL85,compas,0.661499897022319,0.004105149511294329
4,DL85,credit-g,0.5756516098596534,0.016952950241169523
4,DL85,diabetes,0.6706748756807956,0.02039438959398537
4,DL85,heart-statlog,0.705820476858345,0.05763324313812916
4,DL85,liver,0.5610957190097418,0.019090248983704216
4,DL85,vehicle,0.8976748600170827,0.06482382933466367
4,GATREE,breast,0.9414444444444445,0.007783727882774805
4,GATREE,compas,0.6504357581867256,0.007200555329455362
4,GATREE,credit-g,0.657630616818021,0.012602064756837878
4,GATREE,diabetes,0.6747620175230878,0.037593582530406185
4,GATREE,heart-statlog,0.676437587657784,0.02488913077452787
4,GATREE,liver,0.6331754401644473,0.04708010495950252
4,GATREE,vehicle,0.8953687007687197,0.033263297308093895
4,GOSDT,breast,0.937888888888889,0.006921071778843324
4,GOSDT,compas,0.641237141339577,0.0035024734120912213
4,GOSDT,credit-g,0.6801096827456068,0.002465766669374047
4,GOSDT,diabetes,0.7007719630594365,0.011054021096778348
4,GOSDT,heart-statlog,0.6774193548387096,0.027994553271565255
4,GOSDT,liver,0.6597640539815891,0.015501580316576924
4,GOSDT,vehicle,0.8853089114548732,0.01935112272400977
4,LLEGO,breast,0.9513333333333334,0.007131914015947195
4,LLEGO,compas,0.6626841403531593,0.004647809845077887
4,LLEGO,credit-g,0.6835357943153674,0.010502035308480134
4,LLEGO,diabetes,0.7212929197253137,0.017049444839046395
4,LLEGO,heart-statlog,0.7514025245441796,0.04188317906832885
4,LLEGO,liver,0.6761551523818035,0.021225051828857616
4,LLEGO,vehicle,0.928893423175477,0.015331873017009818
